player,crossing_team,n,mean_gap,mean_actual,mean_predicted
L. Cano,Barcelona SC,9,5.716932529986297,17.822145734185565,12.105213204199266
A. Medina,Manta FC,8,6.157353721145257,17.96206148024952,11.804707759104263
J. Sornoza,CSD Independiente del Valle,8,6.51498036278792,17.92904005317723,11.414059690389308
L. Loor,CSD Independiente del Valle,9,6.727634833912784,17.997582854026444,11.269948020113656
K. Peralta,Mushuc Runa SC,8,7.296395474133426,19.41184294822871,12.115447474095282
A. Mena,SD Aucas,10,7.516849990150249,19.47945359258454,11.962603602434294
E. Patta,Libertad Fútbol Club,8,9.02513892536387,20.914518100983283,11.889379175619414
M. Perea,CD Técnico Universitario,10,9.044928215268328,21.46451303984663,12.4195848245783
L. Ayala,CSD Macará,12,9.099551671731419,21.519701311654796,12.420149639923373
D. Romero,CSD Independiente del Valle,11,9.407675201978588,21.703964065849977,12.296288863871387
R. Caicedo,CS Emelec,9,10.881932280351666,23.797922570983054,12.91599029063139
M. Alonso,CD Universidad Católica del Ecuador,8,11.042299575051231,23.668794148351566,12.626494573300334
I. Guerrico,CS Emelec,12,11.44224734391146,23.760154849439164,12.317907505527705
A. Rodríguez,CSD Independiente del Valle,14,11.448969022739144,23.54538467634591,12.096415653606766
H. Villalba,Barcelona SC,13,11.913187691129455,23.023630361562873,11.110442670433413
L. Quiñónez,Liga Deportiva Universitaria de Quito,14,13.171589671969715,25.270024323046236,12.09843465107652
J. Quintero,Liga Deportiva Universitaria de Quito,13,13.815605691159094,25.72694311772385,11.911337426564756
G. Anangonó,CD Universidad Católica del Ecuador,13,14.126646951989045,27.742320145826703,13.615673193837658
J. Perlaza,Barcelona SC,12,14.250207353782002,26.309321996549397,12.059114642767392
R. Quiñónez,SD Aucas,12,14.516190509932834,25.96502206330457,11.448831553371738
E. Pata,CSD Independiente del Valle,10,14.740470264043518,27.917643254392353,13.177172990348833
Y. Erique,CD Cuenca,8,14.792525068207397,27.170266185468236,12.377741117260838
