crossing_team,n,mean_gap,mean_actual,mean_predicted
CD Técnico Universitario,37,7.57105892301037,20.016616681235455,12.445557758225082
CD Cuenca,40,9.477588570646072,21.866682031800313,12.389093461154241
Manta FC,44,9.8955296790505,21.995725621434943,12.100195942384442
CS Emelec,38,10.093444828732114,22.394706788226678,12.301261959494564
Delfín SC,30,10.329153866300514,22.536006493634847,12.206852627334335
CSD Macará,59,10.450133447549952,22.619663221702005,12.169529774152053
Guayaquil City FC,21,10.758366853751285,22.444685425893837,11.686318572142554
CSD Independiente del Valle,82,10.877436980556999,23.027189939232855,12.149752958675855
Leones FC,35,11.343247526855992,23.32260293489029,11.9793554080343
Barcelona SC,83,11.723650229506543,23.895774503792126,12.172124274285581
Libertad Fútbol Club,36,11.922396041281512,24.0740526845898,12.15165664330829
CD Universidad Católica del Ecuador,51,12.515446289816056,25.10069364723485,12.58524735741879
Mushuc Runa SC,45,12.745482495778894,24.6953982275044,11.949915731725504
Liga Deportiva Universitaria de Quito,72,12.932814278687271,24.877039291054512,11.944225012367239
SD Aucas,55,13.506179840599174,25.61855191026727,12.112372069668098
Orense SC,29,13.574523123026308,26.07589810789662,12.50137498487031
