contestant_id,player_minutes,player_matches,goals_for_on,goals_against_on
1ixo4545wkh4oe83osm4tg0a2,19461.516666666666,268,209,197
37k9jifjhdcnb31yzzkmo7uhg,18912.45,261,187,271
4c7u4ex3h310j2unfmd4uc18v,18768.35,271,187,187
50127xit7gxvh20pvvv2lyh0r,19299.233333333334,272,209,154
5yyskw5mk1al71eis8hpcqmxi,18882.233333333334,266,76,250
6gcr0sc8ei7umo38l346y7n7,18942.066666666666,270,207,197
6ov7iz5ful0e0g2epaydpzzn,19199.333333333332,264,242,248
6qtl2ep6r5k1m3y6t8uh57y0g,19072.566666666666,253,207,186
82lpmyui5ugjg53te2h5p5evr,19044.666666666668,262,110,163
85tqel61vdk8sfz1vsb1jykk7,18686.15,267,296,197
8cwds1t3cfvn3x0jswsti8mq4,18924.133333333335,261,154,182
a89x9w22vg0m6q3rnlad8qgmt,19329.2,266,165,209
cxb4hqite921i36gwrezdts7c,19077.166666666668,272,187,175
ddkiejug4w4ri9ch2fnnen6yw,18761.233333333334,271,382,207
ejshnwzjsikkdhm6ynf40xik5,18999.716666666667,265,207,185
f2yd0yzt0om6qhks9gbowu1d6,19177.566666666666,262,252,249
