player,shots_on_target,psxg_sum,actual_goals,sim_mean_goals,sim_std_goals,sim_p05_goals,sim_p95_goals,pctile_of_actual,luck_z_score,team,goalkeeper_value_index
A. Quintana,44,10.35847479995573,16,10.3784,2.3337123730228626,7.0,14.0,1.6099999999999999,-2.408865833246764,CSD Independiente del Valle,36.94444444444445
B. Heras,39,7.194573181681335,6,7.1839,2.1174231485463646,4.0,11.0,78.39,0.5591230079886306,Delfín SC,62.77777777777777
D. Cabezas,95,23.73557898662984,25,23.7314,3.422346277044449,18.0,29.0,40.58,-0.3706813680746435,Libertad Fútbol Club,52.33333333333334
F. Ferrero,81,19.084383883052503,18,19.0809,3.1680838356962715,14.0,24.0,68.64,0.3411841529636929,CD Cuenca,69.83333333333333
F. Zambrano,59,17.511757692908866,22,17.5304,2.7558076565682157,13.0,22.0,7.99,-1.6218838747135043,Manta FC,35.77777777777778
G. Napa,79,22.758145060270326,17,22.7904,3.26384249619984,17.0,28.0,97.72999999999999,1.7741052170078322,Guayaquil City FC,66.38888888888887
G. Valle,57,14.437597237548323,14,14.4175,2.629257262041887,10.0,19.0,62.870000000000005,0.15879009103725705,Liga Deportiva Universitaria de Quito,59.44444444444444
H. Piedra,46,10.272486792104317,17,10.2755,2.3569046968428737,7.0,14.0,0.62,-2.8531064531406884,SD Aucas,33.77777777777778
J. Angulo,46,11.141567255682311,9,11.1395,2.3975904049691223,7.0,15.0,86.86,0.8923542551579212,Leones FC,72.22222222222223
J. Contreras,57,14.202522114776075,12,14.1553,2.6782796549277674,10.0,19.0,84.02,0.8047329919541686,Barcelona SC,64.61111111111111
J. Cárdenas,22,6.14120909847319,9,6.1475,1.8032592021115545,3.0,9.0,9.43,-1.58185800280948,Delfín SC,27.05555555555556
L. Nazareno,41,10.954846230610272,9,10.9907,2.1980476587189828,7.0,15.0,87.63,0.9056673507981059,Leones FC,67.00000000000001
P. Ortíz,71,15.955611957432701,17,15.9666,3.0559261182168656,11.0,21.0,42.55,-0.33816262567335553,CS Emelec,56.88888888888889
R. Formento,66,18.49282961886376,23,18.5206,2.941526073316366,14.0,23.0,8.959999999999999,-1.522814990706435,Mushuc Runa SC,50.44444444444446
R. Rodríguez,49,12.817056066244842,13,12.8327,2.539391799230674,9.0,17.0,54.47,-0.0658819170994739,CSD Macará,46.333333333333336
R. Romo,44,11.282016268195584,13,11.2811,2.2515067821350216,8.0,15.0,28.610000000000003,-0.7634442914580206,CD Universidad Católica del Ecuador,55.77777777777777
R. Silva,59,18.00101196215488,22,18.0078,2.9589084406246844,13.0,23.0,11.799999999999999,-1.3492137658565628,Orense SC,48.94444444444444
S. Razzeto,46,13.92645200241357,14,13.965,2.5553424428048777,10.0,18.0,56.8,-0.013696794376248966,CD Técnico Universitario,43.44444444444445
