player,team,n_matches,slope_per_match,slope_per_10_matches,intercept,r_squared,p_value,std_err,significant,trend
A. Quintana,CSD Independiente del Valle,13,-0.0279320392878042,-0.279320392878042,-0.18261866534017387,0.032851434474629286,0.5534486618267657,0.04569574146629471,False,no clear trend
B. Heras,Delfín SC,12,-0.00047953943552352736,-0.004795394355235273,0.08557265535671206,1.4914987788080189e-05,0.9904960662872805,0.039265364910167584,False,no clear trend
D. Cabezas,Libertad Fútbol Club,17,-0.06454986167731126,-0.6454986167731126,0.5170255669717984,0.21429752905082192,0.06131117625044607,0.03191318605564244,True,declining
F. Ferrero,CD Cuenca,17,-0.006231923322956745,-0.06231923322956745,0.11412769874467621,0.0017269895563721731,0.8741729014050681,0.03868621853743596,False,no clear trend
F. Zambrano,Manta FC,16,-0.04039907526644839,-0.4039907526644839,0.09184960614553961,0.1197273561100528,0.18925324871210206,0.029276510609126297,False,no clear trend
G. Napa,Guayaquil City FC,16,-0.022441470921562474,-0.22441470921562473,0.5549354077763152,0.024353530269188753,0.5638422338351157,0.03796230530442053,False,no clear trend
G. Valle,Liga Deportiva Universitaria de Quito,14,0.04345980856164844,0.4345980856164844,-0.29914875565912963,0.10285624396044037,0.26357841451451647,0.03705210404067138,False,no clear trend
H. Piedra,SD Aucas,17,-0.016867296076229454,-0.16867296076229454,-0.1934219167997895,0.01863350170342152,0.6013855856248936,0.03160590381267847,False,no clear trend
J. Angulo,Leones FC,8,0.07838801805069348,0.7838801805069349,-0.13372866022621993,0.14806150812766147,0.34657524316076366,0.07676391127394243,False,no clear trend
J. Contreras,Barcelona SC,16,-0.04834893164083728,-0.4834893164083728,0.5315763463382766,0.18194388213316237,0.0994303490471342,0.027399692198030772,True,declining
J. Cárdenas,Delfín SC,5,-0.05335082351593754,-0.5335082351593754,-0.35561120002474095,0.011115248335127002,0.866012877680107,0.29053185381671764,False,no clear trend
L. Nazareno,Leones FC,9,-0.013705114537712271,-0.1370511453771227,0.2439125194156713,0.0034945128098344594,0.879923267343264,0.08747424006727882,False,no clear trend
P. Ortíz,CS Emelec,15,0.04333443140184737,0.4333443140184737,-0.40254253721801736,0.14804750597995667,0.15673284914829183,0.02883158829894658,False,no clear trend
R. Formento,Mushuc Runa SC,17,-0.007218139600550926,-0.07218139600550925,-0.15357697206054471,0.002068807167849997,0.8623841727829786,0.040932657390653764,False,no clear trend
R. Rodríguez,CSD Macará,14,-0.05918940194122023,-0.5918940194122023,0.42662027686636994,0.2397164975256919,0.07556428422114607,0.030429313204088124,True,declining
R. Romo,CD Universidad Católica del Ecuador,14,-0.058873033852981926,-0.5887303385298193,0.3331923590747238,0.3216372482334752,0.03442891855909747,0.024681617702195246,True,declining
R. Silva,Orense SC,16,0.0031415108523464466,0.03141510852346446,-0.2341664111181238,0.00038979377878964924,0.9421458759218061,0.042517961627840356,False,no clear trend
S. Razzeto,CD Técnico Universitario,14,0.010507083964164384,0.10507083964164385,-0.08340058164298081,0.009194910174258017,0.7443568989392021,0.03148559818693646,False,no clear trend
